session,dominant_channel,tokens_L,tokens_R,tokens_dominant,tokens_nondominant
D01F0002,L,91,1189,91,1189
D01F0023,R,512,2808,2808,512
D01F0030,R,60,1826,1826,60
D01M0009,R,45,1566,1566,45
D01M0019,R,94,471,471,94
D01M0047,R,136,1876,1876,136
D02F0015,R,256,2265,2265,256
D02F0025,R,187,1073,1073,187
D02F0031,R,83,454,454,83
D02M0028,L,47,261,47,261
D02M0039,R,47,843,843,47
D02M0051,L,26,422,26,422
D04F0022,R,123,1671,1671,123
D04F0044,R,96,2063,2063,96
D04F0050,R,777,3272,3272,777
D04M0010,R,26,1617,1617,26
D04M0052,R,217,2180,2180,217
D04M0056,R,37,585,585,37
