"Dataset","DV","check","eff_before","eff_after","pct_reduction","sign","direction","se_p5","se_p95","concurvity_dur_cov","exceeds_20pct"
"CSJ Monologue","min","frame",1.72,8.801,-411.7,1.759,"up_when_fast",0.319,0.193,0.982,TRUE
"CSJ Monologue","min","frame_nv5",1.72,2.043,-18.8,1.759,"up_when_fast",0.319,0.193,NA,FALSE
"CSJ Monologue","min","intensity",1.72,3.035,-76.5,1.759,"up_when_fast",0.319,0.193,0.249,TRUE
"CSJ Monologue","min","ososagari",1.72,1.762,-2.4,1.759,"up_when_fast",0.319,0.193,NA,FALSE
"CSJ Monologue","max","frame",0.59,7.612,-1191.2,-0.048,"flat",0.275,0.171,0.982,TRUE
"CSJ Monologue","max","frame_nv5",0.59,0.662,-12.3,-0.048,"flat",0.275,0.171,NA,FALSE
"CSJ Monologue","max","intensity",0.59,1.313,-122.7,-0.048,"flat",0.275,0.171,0.247,TRUE
"CSJ Monologue","max","ososagari",0.59,0.534,9.4,-0.048,"flat",0.275,0.171,NA,FALSE
"Buckeye","min","frame",1.453,4.552,-213.2,1.485,"up_when_fast",0.119,0.073,0.965,TRUE
"Buckeye","min","frame_nv5",1.453,1.536,-5.7,1.485,"up_when_fast",0.119,0.073,NA,FALSE
"Buckeye","min","intensity",1.453,1.926,-32.5,1.485,"up_when_fast",0.119,0.073,0.232,TRUE
"Buckeye","max","frame",0.212,3.723,-1652.9,-0.002,"flat",0.115,0.07,0.965,TRUE
"Buckeye","max","frame_nv5",0.212,0.205,3.4,-0.002,"flat",0.115,0.07,NA,FALSE
"Buckeye","max","intensity",0.212,0.556,-162,-0.002,"flat",0.115,0.07,0.232,TRUE
"CSJ Dialogue","min","frame",1.576,7.163,-354.6,1.616,"up_when_fast",0.207,0.156,0.967,TRUE
"CSJ Dialogue","min","frame_nv5",1.576,1.754,-11.3,1.616,"up_when_fast",0.207,0.156,NA,FALSE
"CSJ Dialogue","min","intensity",1.576,2.126,-34.9,1.616,"up_when_fast",0.207,0.156,0.143,TRUE
"CSJ Dialogue","min","ososagari",1.576,1.564,0.7,1.616,"up_when_fast",0.207,0.156,NA,FALSE
"CSJ Dialogue","max","frame",0.497,6.869,-1283.5,0.045,"flat",0.178,0.143,0.967,TRUE
"CSJ Dialogue","max","frame_nv5",0.497,0.565,-13.9,0.045,"flat",0.178,0.143,NA,FALSE
"CSJ Dialogue","max","intensity",0.497,0.649,-30.8,0.045,"flat",0.178,0.143,0.138,TRUE
"CSJ Dialogue","max","ososagari",0.497,0.484,2.4,0.045,"flat",0.178,0.143,NA,FALSE
